Gene,CellType,Cohort,Diagnosis,Sex,Individual,Residuals
TMEM242,0.159025151,0.203213767,0,0.001782837,0.106820836,0.529157409
TMEM243,0.511460168,0.073272839,0.010019576,2.84E-05,0.042146267,0.363072731
TMEM244,0.692224722,0.004988937,0.006133008,0.005953261,0.012216284,0.278483788
TMEM245,0.24044736,0.033970845,0.195881087,1.07E-09,0.162506939,0.367193768
TMEM246,0.257702757,0.338021405,0.072831821,0,0.090150792,0.241293225
TMEM248,0.187523044,0.225998921,0.031003088,5.22E-09,0.147568726,0.407906216
TMEM25,0.377303197,0.360491045,0.012326163,0,0.069874841,0.180004754
TMEM250,0.061459927,0.302895596,0.114675339,0,0.166911953,0.354057185
TMEM251,0.045081461,0.461987186,0.1573502,0,0.092516757,0.243064396
TMEM254,0.233958297,0.26717096,0.080176831,0.001129318,0.105348555,0.312216039
TMEM254-AS1,0.510954288,0,0.008776478,6.73E-11,0.126096372,0.354172862
TMEM256,0.107408676,0.290592118,0.085707483,3.20E-10,0.142702501,0.373589222
TMEM258,0.21372805,0.331538399,0.051339501,0,0.142238045,0.261156005
TMEM259,0.206549421,0.380363992,0,0.00991432,0.251206802,0.151965464
TMEM26,0.475273177,0,0.00777355,0,0.059623804,0.457329469
TMEM260,0.462215786,0.157737137,0.010591603,3.00E-05,0.093379819,0.276045669
TMEM263,0.331095956,0.112146371,0.028563831,3.69E-10,0.086793289,0.441400553
TMEM266,0.674121255,0.030551274,0.021322779,0.006319935,0.111838934,0.155845823
TMEM267,0.104617757,0.202401324,0.059556637,0.016623376,0.230275234,0.386525673
TMEM268,0.674810853,0.011957657,1.62E-10,5.06E-11,0.063192188,0.250039302
TMEM271,0.169976339,0.131715698,0.461000491,4.06E-10,0.041551721,0.195755751
TMEM272,0.720531945,0.007107622,0.000199653,3.63E-05,0.002662984,0.269461511
TMEM30A,0.075242926,0.203905451,0.383056735,0.005276082,0.12969434,0.202824465
TMEM33,0.028233402,0.244546993,0.347709384,3.73E-05,0.125625353,0.253847578
TMEM35B,0.215157346,0.095324859,0.007335612,0.00086745,0.008466161,0.672848573
TMEM38A,0.55785167,0.117437185,0,0.009612373,0.126975486,0.188123286
TMEM38B,0.682160796,0.049281259,0.00982059,0.002918257,0.053182713,0.202636386
TMEM39A,0.383744631,0.069532857,0.003829106,0,0.064264716,0.478628689
TMEM39B,0.330480209,0.05679543,0.007561133,0.014439502,0.192724248,0.397999478
TMEM41A,0.365698579,0.176756038,0,0.000837088,0.073275818,0.383432476
TMEM41B,0.235500072,0.00355513,5.47E-05,0,0.383673553,0.377216546
TMEM42,0.245331124,0.344471698,0.034603002,0,0.090136976,0.285457201
TMEM43,0.051910514,0.351870689,0.033037867,0.006527269,0.168601492,0.388052169
TMEM44,0.554131405,0.021292162,3.36E-09,9.20E-11,0.127874098,0.296702332
TMEM44-AS1,0.239436559,0.254954725,0.163462749,0.003704549,0.082748168,0.25569325
TMEM50A,0.104345896,0.428462858,0.051705715,0.003698969,0.195565823,0.216220738
TMEM50B,0.42731458,0.154980357,0.044858427,0.000884133,0.118207907,0.253754597
TMEM51,0.765675824,0.0051686,0,0.001027496,0.016287814,0.211840266
TMEM53,0.22239927,0.077104243,0,0,0.124494353,0.576002134
TMEM59,0.256829008,0.384148196,0.040305801,6.35E-11,0.169289487,0.149427508
TMEM59L,0.204678219,0.379485958,0.077841337,1.87E-10,0.116499108,0.221495379
TMEM60,0.020998652,0.424887598,0.080172314,0,0.205168377,0.26877306
